eventName,eventCount,totalUsers,keyEvents
page_view,4258,2469,0
session_start,3233,2468,0
first_visit,2597,2467,0
user_engagement,2203,1590,0
scroll,652,424,0
whatsapp_click,587,204,585
click,55,43,0
file_download,42,33,0
video_progress,17,7,0
form_start,12,8,0
phone_click,7,6,5
video_complete,7,6,0
video_start,7,7,0
