sessionDefaultChannelGroup,activeUsers,newUsers,sessions,engagedSessions,engagementRate,averageSessionDuration,keyEvents
Organic Search,2032,2147,2533,1440,0.568495854717726,151.61516983142519,360
Direct,418,427,523,155,0.29636711281070743,169.08594935946465,194
AI Assistant,14,14,20,6,0.3,98.64959735,3
Referral,8,6,21,15,0.7142857142857143,808.65739961904774,33
Organic Social,3,3,3,0,0,0,0
Unassigned,2,0,2,0,0,0,0
