eventName,eventCount,totalUsers,keyEvents
page_view,3178,2032,0
session_start,2655,2032,0
first_visit,2147,2026,0
user_engagement,1772,1457,0
scroll,453,347,0
whatsapp_click,359,168,358
file_download,40,31,0
click,37,31,0
video_progress,17,7,0
form_start,7,7,0
video_complete,7,6,0
video_start,7,7,0
phone_click,2,2,2
