country,clicks,impressions,ctr,position
isl,0,3,0,3.6666666666666665
isr,0,47,0,5.531914893617022
jam,0,38,0,5.973684210526316
jey,0,4,0,5
jpn,0,203,0,7.541871921182266
kaz,0,27,0,11.518518518518519
ken,0,105,0,5.6761904761904765
kgz,0,5,0,9.4
kna,0,6,0,3.8333333333333335
lao,0,5,0,6.2
lbn,0,7,0,5.571428571428571
lbr,0,4,0,3.5
lby,0,6,0,7.333333333333333
lca,0,3,0,5.666666666666667
lka,0,75,0,6.786666666666667
lso,0,9,0,5.888888888888889
ltu,0,32,0,6.90625
lux,0,22,0,9
lva,0,3,0,5.666666666666667
mac,0,2,0,9.5
mar,0,240,0,24.566666666666666
mda,0,9,0,5.555555555555555
mdg,0,6,0,5.166666666666667
mdv,0,15,0,7.333333333333333
mkd,0,4,0,17.75
mli,0,4,0,8
mlt,0,13,0,4.076923076923077
mmr,0,10,0,5.6
mne,0,2,0,9.5
mng,0,2,0,8
moz,0,13,0,13.153846153846153
mrt,0,2,0,17
mtq,0,2,0,2
mus,0,28,0,6.464285714285714
mwi,0,5,0,7.6
myt,0,1,0,53
nam,0,18,0,5.333333333333333
ner,0,1,0,6
nic,0,7,0,9.142857142857142
nor,0,61,0,5.213114754098361
pan,0,13,0,9.846153846153847
per,0,79,0,8.620253164556962
png,0,7,0,3.5714285714285716
pol,0,122,0,7.155737704918033
pri,0,22,0,5.181818181818182
prt,0,68,0,13.205882352941176
pry,0,45,0,5.888888888888889
pse,0,20,0,11.3
pyf,0,1,0,6
reu,0,4,0,6.5
rou,0,45,0,9.311111111111112
rwa,0,12,0,6.5
sdn,0,3,0,3.6666666666666665
sen,0,11,0,13.636363636363637
shn,0,1,0,6
sjm,0,1,0,3
slb,0,1,0,2
sle,0,8,0,4.75
slv,0,14,0,4.428571428571429
som,0,5,0,4.4
srb,0,27,0,7.555555555555555
ssd,0,2,0,3
sur,0,3,0,5
svk,0,11,0,6
svn,0,8,0,7.625
swe,0,310,0,3.774193548387097
swz,0,10,0,2.9
sxm,0,5,0,6.8
syc,0,3,0,8.666666666666668
