device,clicks,impressions,ctr,position
DESKTOP,2380,239551,0.009935253870783258,7.98943022571394
MOBILE,1345,161401,0.008333281702096022,7.603583620919325
TABLET,19,1609,0.011808576755748913,8.07147296457427
