country,clicks,impressions,ctr,position
civ,0,14,0,7.071428571428571
cmr,0,8,0,7
cod,0,21,0,5.476190476190476
cog,0,4,0,13.25
col,0,210,0,12.252380952380953
cpv,0,1,0,16
cri,0,18,0,8.222222222222221
cub,0,13,0,5.153846153846154
cuw,0,6,0,6.166666666666667
cym,0,3,0,10.666666666666666
cyp,0,27,0,41.74074074074074
cze,0,31,0,7.548387096774194
dji,0,2,0,12
dma,0,1,0,1
dnk,0,47,0,5.787234042553192
dom,0,40,0,5.9
dza,0,199,0,23.633165829145728
ecu,0,104,0,13.740384615384615
egy,0,105,0,16.78095238095238
esh,0,1,0,4
est,0,38,0,36.60526315789474
eth,0,39,0,13.051282051282051
fin,0,37,0,5.891891891891892
fji,0,11,0,5.181818181818182
fra,0,601,0,10.319467554076539
fro,0,3,0,2
fsm,0,1,0,3
gab,0,3,0,5.666666666666667
geo,0,25,0,8.120000000000001
gha,0,47,0,6.851063829787234
gib,0,2,0,33
glp,0,2,0,3
gmb,0,1,0,2
grc,0,63,0,8.015873015873016
grd,0,2,0,5
gtm,0,9,0,8.333333333333332
gum,0,11,0,3.5454545454545454
guy,0,11,0,4.363636363636363
hnd,0,8,0,12.5
hrv,0,20,0,5.95
hti,0,4,0,12.5
idn,0,1056,0,14.558712121212121
imn,0,2,0,5
irl,0,271,0,4.483394833948339
irn,0,64,0,6.734375
irq,0,94,0,19.925531914893618
isl,0,4,0,5.75
isr,0,50,0,5.86
jam,0,38,0,5.973684210526316
jey,0,4,0,5
jpn,0,214,0,7.44392523364486
kaz,0,32,0,12.21875
ken,0,110,0,6.1
kgz,0,5,0,9.4
kna,0,6,0,3.8333333333333335
lao,0,8,0,4.375
lbn,0,8,0,7.375
lbr,0,4,0,3.5
lby,0,6,0,7.333333333333333
lca,0,3,0,5.666666666666667
lka,0,82,0,6.780487804878049
lso,0,9,0,5.888888888888889
ltu,0,33,0,6.7272727272727275
lux,0,22,0,9
lva,0,3,0,5.666666666666667
mac,0,2,0,9.5
mar,0,246,0,24.508130081300813
mda,0,9,0,5.555555555555555
mdg,0,6,0,5.166666666666667
mdv,0,15,0,7.333333333333333
mkd,0,4,0,17.75
mli,0,4,0,8
mlt,0,16,0,4.4375
mmr,0,10,0,5.6
mne,0,2,0,9.5
mng,0,2,0,8
moz,0,13,0,13.153846153846153
mrt,0,2,0,17
mtq,0,2,0,2
mus,0,28,0,6.464285714285714
mwi,0,7,0,8.428571428571429
myt,0,1,0,53
nam,0,18,0,5.333333333333333
ner,0,1,0,6
nic,0,7,0,9.142857142857142
nor,0,62,0,5.161290322580645
pan,0,15,0,12.2
per,0,85,0,9.235294117647058
png,0,7,0,3.5714285714285716
pol,0,128,0,7.3671875
pri,0,22,0,5.181818181818182
prt,0,72,0,12.916666666666666
pry,0,47,0,6.085106382978723
pse,0,22,0,10.772727272727273
pyf,0,1,0,6
reu,0,4,0,6.5
rou,0,48,0,9.104166666666666
rwa,0,12,0,6.5
sdn,0,3,0,3.6666666666666665
sen,0,12,0,13.25
shn,0,1,0,6
sjm,0,1,0,3
slb,0,1,0,2
sle,0,8,0,4.75
slv,0,14,0,4.428571428571429
som,0,5,0,4.4
srb,0,28,0,7.464285714285714
ssd,0,2,0,3
sur,0,3,0,5
svk,0,11,0,6
svn,0,9,0,7
swe,0,335,0,3.755223880597015
swz,0,10,0,2.9
sxm,0,5,0,6.8
syc,0,3,0,8.666666666666668
syr,0,8,0,5.625
tcd,0,3,0,3.3333333333333335
tgo,0,2,0,8
tjk,0,1,0,4
tkm,0,3,0,4.666666666666666
tto,0,44,0,13.113636363636363
tun,0,34,0,9.970588235294118
tur,0,287,0,27.114982578397214
twn,0,102,0,5.215686274509804
tza,0,46,0,5.565217391304348
ukr,0,151,0,22.205298013245034
ury,0,37,0,6.621621621621622
uzb,0,37,0,16.56756756756757
vct,0,1,0,4
ven,0,68,0,9.588235294117647
vir,0,2,0,3
vnm,0,1384,0,18.114884393063583
xkk,0,2,0,9
yem,0,2,0,28.5
zmb,0,50,0,9.44
zwe,0,15,0,7.866666666666666
zzz,0,6,0,8.166666666666668
