device,clicks,impressions,ctr,position
DESKTOP,2486,250401,0.009928075367111154,8.340054552497794
MOBILE,1397,167110,0.008359763030339298,7.731907127042068
TABLET,22,1667,0.013197360527894421,8.519496100779843
