sessionDefaultChannelGroup,activeUsers,newUsers,sessions,engagedSessions,engagementRate,averageSessionDuration,keyEvents
Organic Search,793,828,979,533,0.54443309499489279,131.12177669662921,108
Direct,105,105,140,34,0.24285714285714285,211.51437729285715,68
AI Assistant,6,6,8,2,0.25,126.486583625,1
Referral,3,2,6,5,0.83333333333333337,1010.075535,3
Organic Social,1,1,1,0,0,0,0
