eventName,eventCount,totalUsers,keyEvents
page_view,1134,793,0
session_start,1016,793,0
first_visit,828,792,0
user_engagement,620,542,0
scroll,168,148,0
whatsapp_click,107,66,106
click,17,14,0
video_progress,17,7,0
file_download,8,6,0
video_complete,7,6,0
video_start,7,7,0
form_start,3,3,0
phone_click,2,2,2
